"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"RHOB",1.23368121996692e-21,0.902592700331453,0.351,0.188,3.98380339551718e-17,"2","RHOB"
"DSTN",3.04657504401785e-21,0.723261560776541,0.322,0.163,9.83800013214243e-17,"2","DSTN"
"HSPA1B1",3.88863904157313e-20,0.345406137168408,0.834,0.739,1.2557193193048e-15,"2","HSPA1B"
"TMEM59",7.47110362140256e-20,0.488865842397054,0.303,0.145,2.41256878142331e-15,"2","TMEM59"
"NUPR11",9.37440397173268e-20,0.664159495518736,0.329,0.171,3.02718253055192e-15,"2","NUPR1"
"FAM129B1",1.83186717613933e-19,0.700435957180637,0.338,0.18,5.91546548518913e-15,"2","FAM129B"
"RN7SK",9.72195881952702e-19,1.02407031693421,0.29,0.15,3.13941494200166e-14,"2","RN7SK"
"KLF4",2.453854500914e-18,0.887429760699424,0.344,0.195,7.92398695435148e-14,"2","KLF4"
"CIRBP",3.72399081220333e-18,0.698741746203829,0.416,0.256,1.2025511130767e-13,"2","CIRBP"
"IER3",4.54592071497303e-18,0.762236010136353,0.61,0.46,1.46796871727909e-13,"2","IER3"
"IFI44L",5.71867015334456e-18,0.732542213878965,0.375,0.219,1.84667296591802e-13,"2","IFI44L"
"ZFP36L11",2.15710633113631e-17,0.424066228137823,0.776,0.648,6.96572776450538e-13,"2","ZFP36L1"
"GADD45B1",5.05433321800283e-17,0.597916112956792,0.416,0.252,1.63214528275747e-12,"2","GADD45B"
"ANXA5",7.10817947015183e-17,0.480910164782926,0.32,0.167,2.29537331450143e-12,"2","ANXA5"
"MTRNR2L11",1.7737280755147e-16,0.280806339142899,0.754,0.54,5.72772270145206e-12,"2","MTRNR2L1"
"MDK1",1.90463739493619e-16,0.746654510576542,0.41,0.264,6.15045507572795e-12,"2","MDK"
"TNFAIP21",2.94770152606463e-16,0.957331285786981,0.331,0.197,9.51871776796789e-12,"2","TNFAIP2"
"TM4SF11",3.78547589592797e-16,0.762396976779059,0.407,0.266,1.22240587631306e-11,"2","TM4SF1"
"HLA.DPA11",4.11355880270999e-16,0.287274672319783,0.342,0.185,1.32835040857111e-11,"2","HLA.DPA1"
"FOSB1",3.42667955808596e-14,0.495269890663257,0.699,0.597,1.10654336289712e-09,"2","FOSB"
"SLC25A37",6.55061706656543e-14,0.683832951786536,0.488,0.358,2.11532526313531e-09,"2","SLC25A37"
"NFIC",9.90810401110046e-14,0.599741993817778,0.268,0.147,3.19952494726456e-09,"2","NFIC"
"GSTK1",1.40279407370637e-13,0.597705108241854,0.349,0.211,4.52990262281261e-09,"2","GSTK1"
"VAMP8",1.72488773115118e-13,0.691542565009181,0.349,0.221,5.57000746143338e-09,"2","VAMP8"
"PTTG1IP",2.87082121331906e-13,0.606236793003949,0.268,0.151,9.2704558620499e-09,"2","PTTG1IP"
